en_text,pl_text,bielik_translation_0.0,bielik_translation_0.1,bielik_translation_0.2,bielik_translation_0.3,bielik_translation_0.4,bielik_translation_0.5,bielik_translation_0.6,bielik_translation_0.7,bielik_translation_0.8,bielik_translation_0.9,bielik_translation_1.0,chrf_bielik_translation_0.0,bleu_bielik_translation_0.0,bertscore_bielik_translation_0.0,comet_bielik_translation_0.0,chrf_bielik_translation_0.1,bleu_bielik_translation_0.1,bertscore_bielik_translation_0.1,comet_bielik_translation_0.1,chrf_bielik_translation_0.2,bleu_bielik_translation_0.2,bertscore_bielik_translation_0.2,comet_bielik_translation_0.2,chrf_bielik_translation_0.3,bleu_bielik_translation_0.3,bertscore_bielik_translation_0.3,comet_bielik_translation_0.3,chrf_bielik_translation_0.4,bleu_bielik_translation_0.4,bertscore_bielik_translation_0.4,comet_bielik_translation_0.4,chrf_bielik_translation_0.5,bleu_bielik_translation_0.5,bertscore_bielik_translation_0.5,comet_bielik_translation_0.5,chrf_bielik_translation_0.6,bleu_bielik_translation_0.6,bertscore_bielik_translation_0.6,comet_bielik_translation_0.6,chrf_bielik_translation_0.7,bleu_bielik_translation_0.7,bertscore_bielik_translation_0.7,comet_bielik_translation_0.7,chrf_bielik_translation_0.8,bleu_bielik_translation_0.8,bertscore_bielik_translation_0.8,comet_bielik_translation_0.8,chrf_bielik_translation_0.9,bleu_bielik_translation_0.9,bertscore_bielik_translation_0.9,comet_bielik_translation_0.9,chrf_bielik_translation_1.0,bleu_bielik_translation_1.0,bertscore_bielik_translation_1.0,comet_bielik_translation_1.0
Fire!,Gorze!,Worse!,Worse!,Worse!,Worse!,Worse!,Worst!,Worse!,Horrible!,Horrible!,Horrible!,""" horse!""",0.13868962219033962,0.0,0.8730599880218506,0.6635890603065491,0.13868962219033962,0.0,0.8730599880218506,0.6635890603065491,0.13868962219033962,0.0,0.8730599880218506,0.6635890603065491,0.13868962219033962,0.0,0.8730599880218506,0.6635890603065491,0.13868962219033962,0.0,0.8730599880218506,0.6635890603065491,0.0653594771241831,0.0,0.8815228939056396,0.6859373450279236,0.13868962219033962,0.0,0.8730599880218506,0.6635890603065491,0.16133557800224477,0.0,0.8595349788665771,0.8599646091461182,0.16133557800224477,0.0,0.8595349788665771,0.8599646091461182,0.16133557800224477,0.0,0.8595349788665771,0.8599646091461182,0.13309931256399013,0.0,0.7684230804443359,0.5301679968833923
"Find me a king who'll kill a god and plough a goddess, and I'm his man.","Posłucham tylko tego króla, który zabije boga i posiądzie boginię.",I will only listen to this king who kills the god and possesses the goddess.,I will only listen to this king who kills the god and possesses the goddess.,I will listen only to that king who kills the god and possesses the goddess.,I will listen only to that king who kills the god and possesses the goddess.,I will listen only to that king who kills the god and possesses the goddess.,I will listen only to that king who kills the god and possesses the goddess.,I will only listen to this king who kills the god and possesses the goddess.,I will only listen to this king who kills the god and possesses the goddess.,I will only listen to this king who kills the god and possesses the goddess.,I will only listen to the king who kills the god and possesses the goddess.,I will only listen to this king who kills the god and possesses the goddess.,0.33304593310551817,0.0289395234284078,0.801265299320221,0.6545470952987671,0.33304593310551817,0.0289395234284078,0.801265299320221,0.6545470952987671,0.32994046888837797,0.0289395234284078,0.8086449503898621,0.6703603863716125,0.32994046888837797,0.0289395234284078,0.8086449503898621,0.6703603863716125,0.32994046888837797,0.0289395234284078,0.8086449503898621,0.6703603863716125,0.32994046888837797,0.0289395234284078,0.8086449503898621,0.6703603863716125,0.33304593310551817,0.0289395234284078,0.801265299320221,0.6545470952987671,0.33304593310551817,0.0289395234284078,0.801265299320221,0.6545470952987671,0.33304593310551817,0.0289395234284078,0.801265299320221,0.6545470952987671,0.3275914341109657,0.0289395234284078,0.8042874336242676,0.6677579283714294,0.33304593310551817,0.0289395234284078,0.801265299320221,0.6545470952987671
Britt wasn't lying.,A więc Britt nie kłamała.,So Britt wasn't lying.,So Britt wasn't lying.,So Britt wasn't lying.,So Britt was not lying.,So Britt wasn't lying.,So Britt wasn't lying.,So Britt wasn't lying.,So Brit didn't lie.,So Britt wasn't lying.,So Britt wasn't lying.,So Britt wasn't lying.,0.9862065090762249,0.3976353643835253,0.9612241983413696,0.9601779580116272,0.9862065090762249,0.3976353643835253,0.9612241983413696,0.9601779580116272,0.9862065090762249,0.3976353643835253,0.9612241983413696,0.9601779580116272,0.7309988350126776,0.06389431042462725,0.8969525098800659,0.930334746837616,0.9862065090762249,0.3976353643835253,0.9612241983413696,0.9601779580116272,0.9862065090762249,0.3976353643835253,0.9612241983413696,0.9601779580116272,0.9862065090762249,0.3976353643835253,0.9612241983413696,0.9601779580116272,0.23023595580377598,0.0,0.8596726059913635,0.7916069030761719,0.9862065090762249,0.3976353643835253,0.9612241983413696,0.9601779580116272,0.9862065090762249,0.3976353643835253,0.9612241983413696,0.9601779580116272,0.9862065090762249,0.3976353643835253,0.9612241983413696,0.9601779580116272
"You don't believe in the gods, Lugos.","Ty nie wierzysz w bogów, Lugos.","You do not believe in gods, Lugos.","You do not believe in gods, Lugos.","You do not believe in gods, Lugos.","You do not believe in gods, Lugos.","You do not believe in gods, Lugos.","You do not believe in gods, Lugos.","You don't believe in gods, Lugos.","You don't believe in gods, Lugos.","You don't believe in gods, Lugos.","You do not believe in gods, Lugos.","You do not believe in gods, Lugos.",0.6829683783247131,0.10445522730720382,0.9499046206474304,0.8746802806854248,0.6829683783247131,0.10445522730720382,0.9499046206474304,0.8746802806854248,0.6829683783247131,0.10445522730720382,0.9499046206474304,0.8746802806854248,0.6829683783247131,0.10445522730720382,0.9499046206474304,0.8746802806854248,0.6829683783247131,0.10445522730720382,0.9499046206474304,0.8746802806854248,0.6829683783247131,0.10445522730720382,0.9499046206474304,0.8746802806854248,0.8112310881112967,0.5115078115793242,0.9793055057525635,0.9348099827766418,0.8112310881112967,0.5115078115793242,0.9793055057525635,0.9348099827766418,0.8112310881112967,0.5115078115793242,0.9793055057525635,0.9348099827766418,0.6829683783247131,0.10445522730720382,0.9499046206474304,0.8746802806854248,0.6829683783247131,0.10445522730720382,0.9499046206474304,0.8746802806854248
"Where, exactly?",A skąd?,And from where?,And from where?,And from where?,And from where?,And from where?,And from where?,And from where?,And where?,And from where?,And from where?,And where?,0.14201345265125376,0.0,0.8057234287261963,0.7700341939926147,0.14201345265125376,0.0,0.8057234287261963,0.7700341939926147,0.14201345265125376,0.0,0.8057234287261963,0.7700341939926147,0.14201345265125376,0.0,0.8057234287261963,0.7700341939926147,0.14201345265125376,0.0,0.8057234287261963,0.7700341939926147,0.14201345265125376,0.0,0.8057234287261963,0.7700341939926147,0.14201345265125376,0.0,0.8057234287261963,0.7700341939926147,0.14658691818112113,0.0,0.8558921217918396,0.8796533942222595,0.14201345265125376,0.0,0.8057234287261963,0.7700341939926147,0.14201345265125376,0.0,0.8057234287261963,0.7700341939926147,0.14658691818112113,0.0,0.8558921217918396,0.8796533942222595
Gwent - let's play.,Zagrajmy w gwinta.,Let's play Gwint.,Let's play Gwint.,Let's play Gwint.,Let's play Gwint.,Let's play Gwint.,Let's play Gwint.,Let's play Gwint.,Let's play Gwint.,Let's play Gwint.,Let's play gwint.,Let's play gwint.,0.47537538259902373,0.0,0.8437387347221375,0.7665161490440369,0.47537538259902373,0.0,0.8437387347221375,0.7665161490440369,0.47537538259902373,0.0,0.8437387347221375,0.7665161490440369,0.47537538259902373,0.0,0.8437387347221375,0.7665161490440369,0.47537538259902373,0.0,0.8437387347221375,0.7665161490440369,0.47537538259902373,0.0,0.8437387347221375,0.7665161490440369,0.47537538259902373,0.0,0.8437387347221375,0.7665161490440369,0.47537538259902373,0.0,0.8437387347221375,0.7665161490440369,0.47537538259902373,0.0,0.8437387347221375,0.7665161490440369,0.45370751997890074,0.0,0.8386104106903076,0.7806904911994934,0.45370751997890074,0.0,0.8386104106903076,0.7806904911994934
Our time amongst the living is but the wink of an eye.,Czas pośród żywych to mgnienie.,Time among the living is a moment.,Time among the living is a moment.,Time among the living is a moment.,Time among the living is a fleeting moment.,Time among the living is a moment.,Time among the living is a moment.,Time among the living is a moment.,Time among the living is a fleeting moment.,Time among the living is a moment.,Time among the living is a moment.,Time among the living is a moments.,0.3799134289797388,0.08003089005192225,0.81221604347229,0.62343430519104,0.3799134289797388,0.08003089005192225,0.81221604347229,0.62343430519104,0.3799134289797388,0.08003089005192225,0.81221604347229,0.62343430519104,0.4040665527716352,0.08338026118731375,0.8058971762657166,0.7515245676040649,0.3799134289797388,0.08003089005192225,0.81221604347229,0.62343430519104,0.3799134289797388,0.08003089005192225,0.81221604347229,0.62343430519104,0.3799134289797388,0.08003089005192225,0.81221604347229,0.62343430519104,0.4040665527716352,0.08338026118731375,0.8058971762657166,0.7515245676040649,0.3799134289797388,0.08003089005192225,0.81221604347229,0.62343430519104,0.3799134289797388,0.08003089005192225,0.81221604347229,0.62343430519104,0.3829582477018337,0.08003089005192225,0.8048928380012512,0.5354809165000916
Perhaps we should reexamine what we've learned. We might've missed a clue that would push us forward…,"Może jeśli uporządkujemy informacje, które udało nam się zebrać do tej pory, popchnie nas to dalej...","Perhaps if we organize the information that we have managed to collect so far, it will push us further...","Perhaps if we organize the information that we have managed to collect so far, it will push us further...","Perhaps if we organize the information that we have managed to collect so far, it will push us further...","Perhaps if we organize the information that we have managed to collect so far, it will push us further...","Perhaps if we organize the information that we have managed to collect so far, it will push us further...","Perhaps if we organize the information that we have managed to collect so far, it will push us further...","Perhaps if we organize the information that we have managed to collect so far, it will push us further...","Perhaps if we organize the information that we have collected so far, it will push us further...","Perhaps if we organize the information that we have managed to collect so far, it will push us further...","Perhaps if we organize the information that we have managed to collect so far, it will push us further...","Perhaps if we organize the information we've managed to collect so far, it will push us forward...",0.26566876656013255,0.027076576267554473,0.7628750801086426,0.7095754742622375,0.26566876656013255,0.027076576267554473,0.7628750801086426,0.7095754742622375,0.26566876656013255,0.027076576267554473,0.7628750801086426,0.7095754742622375,0.26566876656013255,0.027076576267554473,0.7628750801086426,0.7095754742622375,0.26566876656013255,0.027076576267554473,0.7628750801086426,0.7095754742622375,0.26566876656013255,0.027076576267554473,0.7628750801086426,0.7095754742622375,0.26566876656013255,0.027076576267554473,0.7628750801086426,0.7095754742622375,0.2599392110602659,0.03058760346458022,0.7701362371444702,0.71418696641922,0.26566876656013255,0.027076576267554473,0.7628750801086426,0.7095754742622375,0.26566876656013255,0.027076576267554473,0.7628750801086426,0.7095754742622375,0.31247161428408415,0.03058760346458022,0.781516969203949,0.7387807369232178
Exactly! I knew it - she made the whole thing up!,"Właśnie! Wiedziałem, że sobie coś wymyśliła!",Exactly! I knew she would come up with something!,Exactly! I knew she would come up with something!,Exactly! I knew she would come up with something!,Exactly! I knew she would come up with something!,Exactly! I knew she would come up with something!,Exactly! I knew she would come up with something!,Exactly! I knew she would come up with something!,Exactly! I knew you would come up with something!,Exactly! I knew she would come up with something!,Exactly! I knew she would come up with something!,Exactly! I knew you would come up with something!,0.4857106791104393,0.10212149527580384,0.8763665556907654,0.7999940514564514,0.4857106791104393,0.10212149527580384,0.8763665556907654,0.7999940514564514,0.4857106791104393,0.10212149527580384,0.8763665556907654,0.7999940514564514,0.4857106791104393,0.10212149527580384,0.8763665556907654,0.7999940514564514,0.4857106791104393,0.10212149527580384,0.8763665556907654,0.7999940514564514,0.4857106791104393,0.10212149527580384,0.8763665556907654,0.7999940514564514,0.4857106791104393,0.10212149527580384,0.8763665556907654,0.7999940514564514,0.45515769903759046,0.09503475972243514,0.8600327968597412,0.774265468120575,0.4857106791104393,0.10212149527580384,0.8763665556907654,0.7999940514564514,0.4857106791104393,0.10212149527580384,0.8763665556907654,0.7999940514564514,0.45515769903759046,0.09503475972243514,0.8600327968597412,0.774265468120575
"First - I can try to convince whoever put up the Nithing to lift the curse themselves. Second - I can deflect the curse back on whoever cast it by writing their name on the shaft. Either way, need to know who's behind this.","Po pierwsze, mogę namówić osobę, która postawiła nithing, by sama odczyniła urok... Albo odbić przekleństwo, wypisując jej imię na żerdzi. Tak czy inaczej, muszę wiedzieć, kto za tym stoi.","Firstly, I can convince the person who cast the nithing to counteract it themselves... Or I can remove the curse by writing their name on a stake. Either way, I need to know who is behind this.","Firstly, I can convince the person who cast the nithing to counteract it themselves... Or I can remove the curse by writing their name on a stake. Either way, I need to know who is behind this.","Firstly, I can convince the person who cast the nithing to reverse the curse themselves... Or I can counteract the curse by writing their name on a stake. Either way, I need to know who is behind this.","Firstly, I can convince the person who cast the nithing to counteract it themselves... Or I can reflect the curse, writing their name on a stake. Either way, I need to know who is behind this.","Firstly, I can convince the person who cast the nithing to reverse the curse themselves... Or I can counteract the curse by writing their name on a stick. Either way, I need to know who is behind this.","Firstly, I can convince the person who cast the nithing to counteract it themselves... Or I can reflect the curse by writing their name on a wooden stake. Either way, I need to know who is behind this.","Firstly, I can convince the person who cast the nithing to counteract it themselves... Or I can remove the curse by writing their name on a wooden stake. Either way, I need to know who is behind this.","Firstly, I can convince the person who cast the nithing to reverse the curse themselves... Or I can counteract the curse by writing their name on a pole. Either way, I need to know who is behind this.","Firstly, I can persuade the person who cast the nithing to reverse the curse themselves... Or I can counteract the curse by writing their name on a wooden stick. Either way, I need to know who is behind this.","Firstly, I can convince the person who cast the nithing to reverse the charm themselves... Or I can counteract the curse by writing their name on a wooden stake. Either way, I need to know who is behind this.","First of all, I can convince the person who cast the nithing to reverse the charm themselves... Or I can counteract the curse by writing their name on a rod. Either way, I need to know who is behind it.",0.5280961271834509,0.15812366103735942,0.8443918824195862,0.7896974682807922,0.5280961271834509,0.15812366103735942,0.8443918824195862,0.7896974682807922,0.5678194723872222,0.16382909456534384,0.853330135345459,0.8062918186187744,0.5376750533861144,0.11464256012018526,0.8360298871994019,0.7575945854187012,0.572527726860753,0.16382909456534384,0.8539660573005676,0.7988532185554504,0.5572750895611394,0.1586761662774371,0.8406611680984497,0.7528406381607056,0.5309786525216186,0.1586761662774371,0.8430784940719604,0.7825671434402466,0.5709563732264584,0.16382909456534384,0.854968249797821,0.8052635788917542,0.5516150234632502,0.16259370666898046,0.8471978306770325,0.7926002740859985,0.550586942869895,0.1590950222208254,0.8434801697731018,0.7792918086051941,0.5262134348674462,0.1556389811788663,0.8373311161994934,0.7762705683708191
